grid_id,building_count,dominant_era,district,R5_savings_GWh,annual_pv_GWh,co2_avoided_kt,rank_integrated,centroid_lon,centroid_lat,baseline_carbon_kt
1560,1,era3,Yuhua,0.0943,0.1557,0.1426,442,113.0342,28.1112,inf
1099,7,era2,Kaifu,2.2246,0.952,1.8116,443,112.9757,28.2519,inf
810,38,era3,Yuelu,3.2333,0.442,2.096,444,112.9399,28.2434,inf
1646,3,era3,Yuhua,0.4044,0.3486,0.4295,445,113.0447,28.1291,inf
1043,56,era1,Tianxin,10.0285,1.0179,6.2997,446,112.9694,28.1843,inf
1325,29,era1,Tianxin,5.6613,1.0516,3.8284,447,113.0046,28.1613,inf
652,30,era3,Yuelu,2.6566,0.5903,1.8517,448,112.92,28.2708,inf
1085,194,era1,Furong,12.5633,1.4901,8.0146,449,112.9746,28.1888,inf
1211,17,era1,Furong,4.8542,0.8465,3.2511,450,112.9901,28.2021,inf
435,2,era2,Yuelu,1.8998,1.0085,1.6586,451,112.8936,28.217,inf
1207,16,era1,Furong,7.1578,1.1705,4.7497,452,112.9898,28.184,inf
481,21,era3,Yuelu,2.5787,1.8975,2.5528,453,112.8991,28.2395,inf
1499,19,era2,Furong,2.8758,0.2763,1.7977,454,113.0258,28.2061,inf
1278,18,era2,Tianxin,2.744,0.7263,1.9791,455,112.999,28.1343,inf
1296,7,era3,Furong,0.95,0.8645,1.0348,456,113.0005,28.2155,inf
1537,11,era2,Furong,2.1433,0.6065,1.5682,457,113.0306,28.1925,inf
654,20,era3,Yuelu,1.2385,0.7896,1.1566,458,112.9202,28.2798,inf
1321,1,era1,Tianxin,1.0558,0.3334,0.7923,459,113.0043,28.1432,inf
630,21,era2,Yuelu,5.4572,1.9608,4.2305,460,112.9182,28.1715,inf
1419,17,era2,Furong,3.0618,1.0713,2.3571,461,113.0158,28.2153,inf
645,25,era3,Yuelu,1.8396,0.5212,1.3464,462,112.9194,28.2392,inf
639,15,era2,Yuelu,3.8994,1.1264,2.8662,463,112.919,28.2121,inf
996,33,era2,Tianxin,6.0917,1.9021,4.5589,464,112.9638,28.1574,inf
1438,1,era2,Tianxin,1.0538,0.5594,0.92,465,113.019,28.1159,inf
1407,1,era3,Tianxin,0.0749,0.0874,0.0925,466,113.0148,28.1611,inf
242,148,era3,Yuelu,3.1303,0.6627,2.1632,467,112.8691,28.2715,inf
840,12,era2,Tianxin,2.2513,1.0823,1.9012,468,112.9441,28.1937,inf
853,7,era2,Kaifu,1.1976,0.584,1.0161,469,112.9452,28.2524,inf
753,27,era2,Yuelu,5.3166,1.3627,3.8092,470,112.9335,28.1713,inf
691,4,era3,Yuelu,0.2897,0.4489,0.4212,471,112.9249,28.2617,inf
814,36,era3,Yuelu,2.1482,0.2616,1.3743,471,112.9402,28.2615,inf
400,35,era3,Yuelu,2.1577,2.3639,2.5787,473,112.889,28.2441,inf
1539,5,era1,Furong,1.8688,0.4583,1.3271,474,113.0308,28.2015,inf
706,14,era3,Yuelu,1.2674,0.5901,1.0593,474,112.9279,28.1443,inf
684,9,era3,Yuelu,0.91,0.431,0.7648,476,112.9244,28.2301,inf
611,14,era2,Yuelu,1.7128,0.4782,1.2495,477,112.9149,28.2708,inf
1260,7,era2,Furong,0.9128,0.4243,0.7626,478,112.9958,28.2381,inf
1450,28,era2,Furong,5.4934,1.0132,3.7107,479,113.02,28.1701,inf
1580,17,era2,Furong,3.7597,1.1231,2.7847,480,113.0359,28.2014,inf
1102,26,era2,Kaifu,3.3681,0.2162,2.0441,480,112.976,28.2655,inf
646,33,era3,Yuelu,1.6525,0.8978,1.4544,482,112.9195,28.2437,inf
605,35,era3,Yuelu,2.2925,0.1558,1.3963,483,112.9144,28.2438,inf
732,31,era3,Yuelu,2.4014,0.4998,1.6546,484,112.93,28.2616,inf
730,1,era3,Yuelu,0.0642,0.0749,0.0793,485,112.9299,28.2526,inf
1604,10,era3,Yuhua,0.9832,0.8209,1.0289,486,113.0395,28.1247,inf
1622,21,era2,Furong,3.9888,0.8095,2.7365,487,113.0411,28.2059,inf
997,28,era1,Tianxin,4.9273,0.9252,3.3377,488,112.9639,28.1619,inf
873,2,era1,Tianxin,1.4417,0.3977,1.049,489,112.9485,28.1576,inf
1417,15,era1,Furong,3.9556,0.9582,2.8023,490,113.0156,28.2062,inf
770,28,era3,Yuelu,2.4882,0.162,1.5114,491,112.9349,28.248,inf
1002,34,era1,Tianxin,7.0907,0.4273,4.2875,492,112.9643,28.1844,inf
1384,16,era2,Furong,3.5852,1.0042,2.6173,493,113.0112,28.2424,inf
1569,4,era3,Yuhua,0.5638,0.2859,0.4846,494,113.035,28.1518,inf
773,21,era3,Yuelu,1.553,0.5785,1.2156,495,112.9351,28.2615,inf
564,20,era3,Yuelu,1.7784,0.1237,1.0848,496,112.9093,28.2439,inf
667,52,era2,Yuelu,5.5503,1.3961,3.9615,497,112.923,28.1534,inf
1040,4,era1,Tianxin,1.588,0.3548,1.108,498,112.9691,28.1708,inf
693,22,era2,Yuelu,3.0674,0.1371,1.8275,499,112.9251,28.2707,inf
201,73,era3,Yuelu,2.0756,0.4016,1.4127,500,112.864,28.2716,inf
1219,1,era1,Furong,0.7979,0.252,0.5987,501,112.9908,28.2382,inf
1140,22,era3,Kaifu,1.7542,0.7016,1.4005,502,112.9808,28.2519,inf
322,32,era2,Yuelu,3.6964,0.9704,2.6615,503,112.8791,28.2623,inf
1009,1,era1,Yuelu,0.7134,0.2253,0.5353,504,112.9649,28.216,inf
1447,15,era2,Tianxin,2.6759,0.9596,2.0733,505,113.0198,28.1565,inf
895,3,era2,Kaifu,0.5175,0.2991,0.4657,506,112.9503,28.2568,inf
1007,4,era1,Yuelu,2.1156,0.609,1.5539,507,112.9647,28.207,inf
769,10,era3,Yuelu,0.517,0.0924,0.3476,508,112.9348,28.2435,inf
1618,16,era2,Furong,2.5704,0.0,1.4659,508,113.0407,28.1878,inf
930,20,era1,Yuelu,3.6196,1.0589,2.6681,510,112.9549,28.2297,inf
649,32,era3,Yuelu,2.0043,1.3547,1.9156,511,112.9198,28.2572,inf
598,7,era1,Yuelu,3.4169,1.4077,2.7515,511,112.9139,28.2122,inf
1542,1,era1,Furong,0.6267,0.1398,0.4371,513,113.0311,28.215,inf
187,10,era3,Yuelu,0.5416,0.294,0.4766,514,112.8629,28.2084,inf
1498,28,era2,Furong,4.6528,0.0778,2.6978,515,113.0257,28.2016,inf
1108,8,era3,Tianxin,0.4452,0.3501,0.4536,516,112.9782,28.1075,inf
973,7,era2,Kaifu,1.0367,0.3013,0.7631,517,112.9602,28.2386,inf
476,25,era2,Yuelu,4.8664,1.6385,3.7098,518,112.8987,28.2169,inf
1367,35,era2,Tianxin,5.9395,0.1085,3.4492,519,113.0098,28.1657,inf
665,24,era2,Yuelu,4.4671,1.9354,3.6513,520,112.9228,28.1444,inf
280,40,era3,Yuelu,3.1427,1.2143,2.4848,521,112.8739,28.2579,inf
733,9,era3,Yuelu,0.6985,0.4476,0.6536,522,112.9301,28.2661,inf
398,1,era3,Yuelu,0.0525,0.0,0.0299,523,112.8888,28.2351,inf
1041,30,era1,Tianxin,5.5959,0.1041,3.2507,524,112.9692,28.1753,inf
802,1,era3,Yuelu,0.0571,0.0,0.0326,524,112.9392,28.2073,inf
1383,4,era2,Furong,0.3784,0.2947,0.3839,526,113.0111,28.2379,inf
1411,7,era1,Furong,2.0751,0.4739,1.4537,527,113.0151,28.1792,inf
1561,19,era3,Yuhua,1.0682,0.4632,0.8733,528,113.0343,28.1157,inf
1033,7,era2,Tianxin,1.813,0.5528,1.3492,529,112.9686,28.1392,inf
1418,20,era2,Furong,2.6874,0.2849,1.6951,530,113.0157,28.2107,inf
1382,25,era2,Furong,3.3507,0.4615,2.1741,531,113.011,28.2334,inf
238,15,era2,Yuelu,2.3453,1.1075,1.9692,532,112.8687,28.2534,inf
1107,23,era3,Tianxin,1.7226,0.4419,1.2344,533,112.9781,28.103,inf
1089,30,era1,Furong,5.7346,0.6298,3.6296,534,112.9749,28.2068,inf
1519,6,era2,Yuhua,1.6317,0.6634,1.3089,535,113.0291,28.1113,inf
795,66,era2,Yuelu,7.5502,3.2455,6.1568,536,112.9387,28.1758,inf
1338,4,era3,Furong,0.3067,0.1348,0.2518,537,113.0057,28.2199,inf
1212,1,era2,Furong,0.629,0.3339,0.5491,538,112.9902,28.2066,inf
705,4,era3,Other,0.6225,0.693,0.7502,539,112.9279,28.1398,inf
653,34,era3,Yuelu,1.9004,0.1469,1.1676,540,112.9201,28.2753,inf
557,11,era2,Yuelu,3.5272,0.8304,2.4851,541,112.9088,28.2123,inf
364,23,era2,Yuelu,1.8736,0.8194,1.5358,542,112.8843,28.2668,inf
813,15,era3,Yuelu,1.6921,0.5756,1.2933,543,112.9401,28.257,inf
689,6,era3,Yuelu,0.3897,0.3009,0.3938,544,112.9248,28.2527,inf
664,5,era3,Other,0.3985,0.2389,0.3635,545,112.9228,28.1399,inf
367,26,era3,Yuelu,1.2178,1.5632,1.586,545,112.8845,28.2803,inf
647,26,era3,Yuelu,1.6102,0.3231,1.1026,547,112.9196,28.2482,inf
116,25,era3,Yuelu,1.355,0.7687,1.2112,548,112.8535,28.2582,inf
842,1,era1,Yuelu,0.4261,0.1346,0.3197,549,112.9443,28.2028,inf
1297,6,era3,Furong,0.7149,0.2271,0.5372,550,113.0006,28.22,inf
648,37,era3,Yuelu,2.344,0.0,1.3368,550,112.9197,28.2527,inf
1534,11,era2,Furong,1.6806,0.6087,1.3056,552,113.0304,28.1789,inf
1134,2,era1,Furong,0.9854,0.259,0.7097,553,112.9803,28.2248,inf
1373,13,era1,Furong,3.4956,0.6572,2.3683,554,113.0103,28.1928,inf
606,12,era3,Yuelu,0.6048,0.4022,0.5743,555,112.9145,28.2483,inf
1218,16,era1,Furong,3.8981,0.381,2.4404,556,112.9907,28.2337,inf
200,38,era3,Yuelu,1.1939,0.0,0.6809,557,112.8639,28.267,inf
279,21,era3,Yuelu,1.5175,1.0504,1.4645,558,112.8738,28.2534,inf
1174,5,era1,Furong,1.5229,0.2578,1.0155,559,112.9853,28.2202,inf
1488,7,era2,Yuhua,1.4148,0.4971,1.0904,560,113.0249,28.1565,inf
1501,21,era2,Furong,2.8264,0.1081,1.6735,561,113.026,28.2151,inf
363,47,era3,Yuelu,2.1919,0.1057,1.3103,562,112.8842,28.2622,inf
1610,28,era3,Yuhua,1.5006,0.1965,0.9679,563,113.0401,28.1517,inf
117,46,era3,Yuelu,2.1313,0.12,1.2839,564,112.8536,28.2627,inf
589,32,era3,Yuelu,1.2594,0.3585,0.9227,565,112.9131,28.1716,inf
158,25,era3,Yuelu,1.5699,0.2414,1.033,566,112.8587,28.2626,inf
1453,17,era1,Furong,4.0361,0.1736,2.4008,567,113.0203,28.1836,inf
1449,5,era2,Tianxin,1.3147,0.4613,1.0129,568,113.02,28.1656,inf
356,11,era3,Yuelu,0.5772,0.6257,0.686,569,112.8836,28.2307,inf
1412,5,era2,Furong,1.086,0.1103,0.6823,570,113.0152,28.1837,inf
399,14,era3,Yuelu,1.3149,1.3306,1.5087,571,112.8889,28.2396,inf
607,12,era3,Yuelu,0.8115,0.1814,0.5662,572,112.9146,28.2528,inf
692,15,era2,Yuelu,1.5552,0.0,0.8869,573,112.925,28.2662,inf
685,10,era3,Yuelu,0.3864,0.0,0.2204,574,112.9245,28.2346,inf
612,17,era3,Yuelu,1.6911,0.5877,1.2996,575,112.915,28.2754,inf
563,1,era3,Yuelu,0.045,0.0,0.0257,576,112.9093,28.2393,inf
441,14,era3,Yuelu,0.5556,0.5345,0.6217,577,112.8941,28.2441,inf
1131,7,era1,Furong,1.6733,0.1137,1.0191,578,112.9801,28.2113,inf
321,11,era2,Yuelu,1.8617,0.7311,1.4787,579,112.879,28.2578,inf
792,60,era2,Yuelu,4.0431,0.6001,2.648,580,112.9384,28.1622,inf
757,1,era2,Yuelu,0.1986,0.1054,0.1734,581,112.9338,28.1894,inf
324,18,era3,Yuelu,0.7187,0.3783,0.6256,582,112.8792,28.2713,inf
690,14,era3,Yuelu,1.209,0.204,0.8059,582,112.9249,28.2572,inf
1562,1,era3,Yuhua,0.0415,0.0,0.0237,584,113.0344,28.1202,inf
1122,12,era1,Furong,2.7252,0.486,1.8314,585,112.9793,28.1707,inf
1617,15,era2,Furong,2.2804,0.0,1.3005,585,113.0407,28.1833,inf
957,1,era2,Tianxin,0.2016,0.107,0.176,587,112.9589,28.1664,inf
1048,24,era2,Yuelu,4.7252,1.0018,3.2661,588,112.9698,28.2069,inf
406,4,era2,Yuelu,0.6535,0.3223,0.5565,589,112.8894,28.2712,inf
1082,17,era1,Furong,3.4734,0.1155,2.0468,590,112.9743,28.1752,inf
281,13,era3,Yuelu,0.4133,0.2368,0.3707,591,112.874,28.2624,inf
651,15,era3,Yuelu,0.8626,0.0,0.4919,592,112.9199,28.2663,inf
650,22,era3,Yuelu,0.7003,0.1193,0.4674,593,112.9199,28.2618,inf
1603,6,era3,Yuhua,0.2062,0.1141,0.1827,594,113.0395,28.1202,inf
1538,5,era2,Furong,0.8874,0.0777,0.5504,595,113.0307,28.197,inf
365,22,era3,Yuelu,0.8153,0.2136,0.5868,596,112.8843,28.2713,inf
449,26,era2,Yuelu,1.6664,0.3007,1.1218,597,112.8947,28.2802,inf
320,6,era2,Yuelu,0.7686,0.4838,0.7142,598,112.8789,28.2533,inf
1005,11,era1,Tianxin,2.8602,0.3471,1.8291,599,112.9645,28.1979,inf
632,74,era2,Yuelu,2.0955,0.1468,1.2788,600,112.9184,28.1806,inf
1284,18,era1,Tianxin,3.3937,0.1815,2.0389,600,112.9995,28.1613,inf
1170,10,era1,Furong,1.8214,0.3445,1.2352,602,112.985,28.2022,inf
855,3,era3,Kaifu,0.1083,0.0,0.0618,603,112.9453,28.2614,inf
240,7,era2,Yuelu,1.307,0.5534,1.061,604,112.8689,28.2625,inf
1445,1,era2,Tianxin,0.2174,0.0815,0.1705,605,113.0196,28.1475,inf
955,21,era2,Tianxin,2.7041,0.5406,1.8505,606,112.9587,28.1574,inf
877,3,era2,Tianxin,0.3946,0.2698,0.3789,607,112.9489,28.1756,inf
1409,5,era1,Furong,1.29,0.1063,0.7963,608,113.015,28.1701,inf
196,6,era3,Yuelu,0.1577,0.0,0.0899,609,112.8636,28.249,inf
666,23,era2,Yuelu,3.1067,0.9457,2.3111,610,112.9229,28.1489,inf
1568,4,era2,Yuhua,0.4349,0.0,0.248,611,113.0349,28.1473,inf
1362,2,era2,Tianxin,0.4194,0.1235,0.3096,612,113.0094,28.1432,inf
277,7,era3,Yuelu,0.2429,0.2659,0.2902,613,112.8737,28.2443,inf
731,1,era3,Yuelu,0.0304,0.0,0.0173,614,112.93,28.2571,inf
1073,3,era1,Tianxin,0.445,0.4152,0.4905,615,112.9736,28.1347,inf
75,1,era3,Yuelu,0.0259,0.0,0.0148,616,112.8484,28.2582,inf
186,6,era2,Yuelu,0.5267,0.0,0.3004,617,112.8628,28.2039,inf
1256,9,era2,Furong,1.9924,0.4546,1.3955,618,112.9955,28.2201,inf
609,2,era3,Yuelu,0.0479,0.0,0.0273,619,112.9148,28.2618,inf
608,18,era3,Yuelu,0.8213,0.1438,0.5504,620,112.9147,28.2573,inf
1092,6,era1,Furong,1.2616,0.0,0.7195,621,112.9751,28.2204,inf
1298,7,era2,Furong,1.2202,0.0,0.6959,621,113.0007,28.2245,inf
362,12,era3,Yuelu,0.4406,0.0,0.2513,623,112.8841,28.2577,inf
490,1,era3,Yuelu,0.0187,0.0,0.0107,624,112.8998,28.2801,inf
36,7,era3,Yuelu,0.1025,0.0,0.0585,625,112.8435,28.2673,inf
197,2,era3,Yuelu,0.1006,0.0,0.0574,626,112.8636,28.2535,inf
408,19,era3,Yuelu,0.3347,0.0,0.1909,627,112.8896,28.2802,inf
829,25,era2,Tianxin,1.5676,0.0,0.894,628,112.9432,28.1441,inf
448,7,era3,Yuelu,0.2053,0.0,0.1171,629,112.8946,28.2756,inf
854,7,era2,Kaifu,0.5583,0.0,0.3184,630,112.9452,28.2569,inf
366,13,era3,Yuelu,0.4088,0.0,0.2331,631,112.8844,28.2758,inf
1478,3,era2,Yuhua,0.2049,0.0,0.1169,632,113.024,28.1114,inf
239,14,era2,Yuelu,0.9063,0.1075,0.5782,633,112.8688,28.2579,inf
77,33,era2,Yuelu,0.7299,0.0,0.4163,634,112.8486,28.2672,inf
34,15,era3,Yuelu,0.2367,0.0,0.135,635,112.8433,28.2583,inf
1533,3,era1,Furong,0.6964,0.0,0.3972,636,113.0303,28.1744,inf
1408,10,era1,Tianxin,2.144,0.3288,1.4103,637,113.0149,28.1656,inf
850,8,era2,Yuelu,1.0837,0.0,0.618,638,112.9449,28.2388,inf
799,2,era2,Yuelu,0.8897,0.4718,0.7765,639,112.939,28.1938,inf
439,1,era3,Yuelu,0.0022,0.0,0.0013,640,112.8939,28.235,inf
76,21,era2,Yuelu,0.646,0.0,0.3684,641,112.8485,28.2627,inf
1486,6,era2,Yuhua,0.1928,0.1008,0.1674,642,113.0247,28.1474,inf
407,12,era3,Yuelu,0.5151,0.0,0.2938,643,112.8895,28.2757,inf
35,9,era3,Yuelu,0.1879,0.0,0.1072,644,112.8434,28.2628,inf
547,3,era2,Yuelu,0.4375,0.1085,0.3114,645,112.908,28.1672,inf
199,12,era3,Yuelu,0.3239,0.0,0.1847,646,112.8638,28.2625,inf
879,3,era3,Tianxin,0.0179,0.0,0.0102,647,112.949,28.1846,inf
610,3,era3,Yuelu,0.1281,0.0,0.0731,648,112.9148,28.2663,inf
1448,7,era2,Tianxin,0.9924,0.2829,0.7273,649,113.0199,28.161,inf
841,2,era2,Tianxin,0.0779,0.0,0.0444,650,112.9442,28.1982,inf
673,5,era2,Yuelu,1.2094,0.5426,0.9992,651,112.9235,28.1805,inf
1687,1,era2,Yuhua,0.1252,0.0,0.0714,652,113.0498,28.129,inf
590,2,era2,Yuelu,0.296,0.1213,0.238,652,112.9132,28.1761,inf
591,21,era2,Yuelu,0.5254,0.0,0.2996,654,112.9133,28.1806,inf
404,5,era2,Yuelu,0.358,0.0,0.2042,655,112.8893,28.2622,inf
278,2,era2,Yuelu,0.2157,0.0,0.123,656,112.8738,28.2489,inf
771,1,era2,Yuelu,0.1261,0.0,0.0719,657,112.935,28.2525,inf
834,1,era2,Tianxin,0.1351,0.0,0.077,658,112.9436,28.1667,inf
1579,4,era2,Furong,0.1543,0.0,0.088,659,113.0358,28.1969,inf
1252,5,era1,Furong,0.5778,0.0,0.3295,660,112.9952,28.202,inf
1570,2,era2,Yuhua,0.2227,0.1095,0.1895,661,113.0351,28.1563,inf
835,3,era2,Tianxin,0.1213,0.0,0.0692,662,112.9437,28.1712,inf
1299,2,era1,Furong,0.3049,0.0,0.1739,663,113.0008,28.229,inf
237,1,era1,Yuelu,0.1272,0.0,0.0725,664,112.8687,28.2489,inf
926,1,era1,Yuelu,0.0073,0.0,0.0042,665,112.9546,28.2116,inf
523,1,era2,Yuelu,0.0543,0.0,0.031,666,112.9042,28.2439,inf
1316,2,era2,Tianxin,0.338,0.1777,0.2941,667,113.0038,28.1207,inf
1181,1,era2,Kaifu,0.0005,0.0,0.0003,668,112.9859,28.2518,inf
954,1,era2,Tianxin,0.0259,0.0,0.0148,669,112.9586,28.1529,inf
1423,1,era2,Furong,0.0007,0.0,0.0004,670,113.0161,28.2333,inf
856,1,era2,Kaifu,0.005,0.0,0.0029,671,112.9454,28.2659,inf
