grid_id,building_count,dominant_era,district,total_floor_area_m2,mean_solar_score,R5_savings_GWh,annual_pv_GWh,co2_avoided_kt,climate_delta,solar_score_norm,retrofit_score_norm,carbon_score_norm,climate_score_norm,integrated_score,rank_integrated,in_p1_priority,centroid_lon,centroid_lat
933,19,era2,Kaifu,515408.2700,60.4569,26.1421,7.2014,19.0158,0.0507,97.4700,94.6300,95.5300,71.6800,91.0700,1,True,112.9552,28.2432
316,30,era3,Yuelu,667848.3100,60.4115,15.9516,8.5395,13.9673,0.0463,97.3200,86.1400,88.9700,88.9700,90.6300,2,True,112.8786,28.2353
1315,3,era1,Tianxin,330512.7700,65.5859,14.7508,12.8239,15.7258,0.0506,99.5500,83.6100,91.8000,71.9800,87.7000,3,True,113.0038,28.1162
353,3,era3,Yuelu,348853.3200,70.2667,8.1981,10.7404,10.8006,0.0462,99.8500,66.7700,83.0100,98.5800,86.3000,4,True,112.8834,28.2171
354,10,era3,Yuelu,373384.8600,55.0725,8.7745,14.4873,13.2662,0.0462,93.2900,69.4500,87.9300,98.5800,86.1200,5,True,112.8835,28.2217
275,31,era3,Yuelu,405771.6200,60.1478,9.5356,8.0950,10.0547,0.0462,97.1700,72.5800,80.9200,95.0800,86.1200,5,True,112.8735,28.2353
357,16,era3,Yuelu,411653.4000,59.4028,9.6739,6.3710,9.1504,0.0462,96.4200,73.6200,79.2800,95.4500,85.9600,7,True,112.8837,28.2352
883,26,era1,Yuelu,383194.0500,54.0421,42.4726,4.5467,26.8151,0.0558,91.2100,98.6600,98.6600,44.1100,85.5200,8,True,112.9494,28.2027
929,30,era1,Yuelu,551142.7400,52.5355,65.4963,3.9049,39.5795,0.0559,88.0800,99.2500,99.2500,42.3200,84.5100,9,False,112.9549,28.2252
1004,15,era1,Tianxin,1093993.8300,58.5503,134.4190,7.7139,81.0584,0.0562,95.8300,99.8500,99.8500,28.9100,84.4600,10,False,112.9645,28.1934
315,57,era3,Yuelu,369522.3800,52.2638,9.4184,10.7249,11.4877,0.0466,87.6300,72.2800,84.8000,87.3300,82.4000,11,False,112.8785,28.2307
790,13,era2,Yuelu,251924.4700,53.4367,15.2724,9.5596,14.1617,0.0538,90.1600,85.1000,89.4200,58.8700,82.2400,12,False,112.9383,28.1532
274,30,era3,Yuelu,359579.7500,57.0965,8.4501,5.2913,7.8367,0.0462,94.9300,67.5100,74.2200,92.7700,82.1300,13,True,112.8734,28.2308
832,24,era2,Tianxin,246738.1300,53.1966,14.5000,7.1400,12.3413,0.0528,89.7200,83.3100,86.7400,63.4900,81.9600,14,True,112.9434,28.1576
833,45,era2,Tianxin,296837.0300,49.7952,20.1310,8.3013,16.2149,0.0542,82.7100,89.7200,92.4000,57.8200,81.7700,15,False,112.9435,28.1622
1164,12,era1,Furong,242868.3400,55.4386,27.7256,1.9465,16.9220,0.0562,93.4400,95.0800,93.5900,29.8100,81.2400,16,True,112.9845,28.1751
317,39,era3,Yuelu,398347.4200,52.6777,9.3612,2.8063,6.9391,0.0462,88.8200,71.6800,70.4900,94.3400,81.1200,17,True,112.8787,28.2398
972,19,era3,Kaifu,177710.4700,52.4249,13.4789,4.7057,10.3707,0.0528,87.7800,81.8200,82.4100,63.0400,79.9700,18,True,112.9601,28.2341
1132,12,era1,Furong,1017388.6300,53.2840,75.8950,7.0626,47.3107,0.0562,89.8700,99.5500,99.5500,15.7200,79.8800,19,True,112.9802,28.2158
355,11,era3,Yuelu,288424.1700,53.4460,6.7780,10.8651,10.0619,0.0462,90.4600,61.2500,81.2200,89.2700,79.6100,20,False,112.8836,28.2262
889,24,era2,Yuelu,607532.7800,56.6546,58.6261,4.1749,35.8154,0.0562,94.1900,99.1100,99.1100,8.6400,79.5400,21,True,112.9498,28.2297
1124,5,era2,Furong,147961.2600,54.1222,16.0942,5.3249,12.2153,0.0558,91.3600,86.2900,86.2900,43.3700,79.2300,22,True,112.9795,28.1797
352,25,era3,Yuelu,214162.0500,55.0506,7.5342,8.0842,8.9072,0.0487,93.1400,63.3400,78.2400,80.0300,78.6000,23,True,112.8833,28.2126
807,17,era3,Yuelu,222483.4100,53.4390,9.1642,5.3101,8.2547,0.0498,90.3100,71.2400,75.7100,74.8100,78.5700,24,True,112.9397,28.2299
1223,18,era3,Kaifu,247616.0600,54.2421,6.6572,7.8890,8.2957,0.0469,91.6500,60.5100,75.8600,86.5900,78.1400,25,True,112.9911,28.2562
722,50,era2,Yuelu,319769.0200,46.3392,24.3761,4.2181,16.3073,0.0536,64.0800,93.7400,92.7000,59.6100,77.8100,26,False,112.9292,28.2165
750,51,era2,Yuelu,318299.7100,46.8625,14.8939,10.2983,14.3671,0.0511,68.1100,84.0500,89.5700,70.0400,77.5700,27,True,112.9333,28.1578
396,15,era3,Yuelu,205841.5700,52.9659,7.7691,7.8851,8.9276,0.0492,89.2700,64.6800,78.3900,77.6500,77.3900,28,True,112.8886,28.2261
392,28,era3,Yuelu,221179.2300,49.5666,9.6185,7.9534,10.0213,0.0504,81.9700,73.1700,80.7700,73.0300,77.3000,29,False,112.8883,28.2080
228,9,era3,Yuelu,205073.6400,55.5599,4.8192,7.7060,7.1431,0.0462,93.7400,50.9700,71.2400,97.3200,77.1200,30,True,112.8680,28.2083
1171,34,era1,Furong,194372.8900,47.9765,21.8361,4.1646,14.8282,0.0557,74.9600,90.9100,90.1600,45.4500,76.8800,31,False,112.9851,28.2067
1156,31,era2,Tianxin,175750.6700,50.5457,14.6023,6.0429,11.7739,0.0557,84.6500,83.4600,85.6900,45.7500,76.7200,32,True,112.9838,28.1390
434,34,era2,Yuelu,215394.9200,48.7004,10.1079,7.4605,10.0193,0.0510,78.8400,74.6600,80.6300,70.3400,76.2400,33,False,112.8935,28.2125
560,42,era2,Yuelu,226307.0500,48.2381,11.2492,7.2284,10.5378,0.0517,76.0100,78.0900,82.5600,67.3600,76.2100,34,True,112.9090,28.2258
1204,49,era1,Furong,251413.2500,46.7630,30.8911,5.3145,20.6481,0.0562,66.9200,97.0200,96.5700,38.1500,76.1300,35,False,112.9895,28.1705
1410,61,era2,Furong,364083.8800,46.7811,30.2689,7.3557,21.4573,0.0562,67.2100,96.1300,97.6200,37.8500,76.1000,36,False,113.0150,28.1747
839,28,era2,Tianxin,220708.8300,51.2604,21.9533,8.1657,17.1769,0.0562,85.8400,91.0600,93.8900,21.0100,76.0500,37,True,112.9440,28.1892
1087,39,era1,Furong,1410067.6600,46.2191,172.9227,10.2387,104.4569,0.0562,62.7400,100.0000,100.0000,35.8400,75.9900,38,False,112.9747,28.1978
1601,4,era2,Yuhua,133000.6100,65.1889,7.7722,5.1604,7.3755,0.0534,99.2500,64.8300,72.4300,60.3600,75.7800,39,True,113.0393,28.1111
797,22,era2,Yuelu,135887.6700,52.1991,11.9027,5.2495,9.7819,0.0555,87.3300,78.8400,80.1800,48.7300,75.6300,40,True,112.9388,28.1848
710,42,era2,Yuelu,212389.2500,47.8017,15.2578,6.7682,12.5614,0.0548,73.6200,84.9500,87.0300,53.0600,75.5900,41,False,112.9283,28.1624
312,3,era3,Yuelu,174743.1300,57.4672,4.1065,6.6917,6.1582,0.0462,95.0800,46.5000,65.1300,99.8500,75.4700,42,False,112.8783,28.2172
310,13,era3,Yuelu,227921.8000,51.8862,5.5175,8.3944,7.9340,0.0463,86.7400,54.4000,74.6600,88.8200,75.0400,43,False,112.8781,28.2082
1113,18,era2,Tianxin,168017.6800,51.4101,8.7875,4.8949,7.8031,0.0522,86.1400,69.7500,74.0700,65.7200,74.7200,44,True,112.9786,28.1301
1050,27,era1,Yuelu,191694.1900,49.5579,23.5535,3.3568,15.3469,0.0562,81.6700,92.7000,90.9100,21.0100,74.6900,45,False,112.9700,28.2159
671,48,era2,Yuelu,197177.3100,48.7084,14.1888,6.4349,11.7617,0.0558,78.9900,83.0100,85.5400,44.7100,74.6500,46,False,112.9233,28.1715
478,23,era2,Yuelu,184461.1500,48.7624,9.4676,6.4142,9.0574,0.0520,79.1400,72.4300,78.9900,66.6200,74.5900,47,False,112.8988,28.2259
548,21,era2,Yuelu,142143.2300,52.0727,9.5412,5.0451,8.3186,0.0545,87.0300,72.7300,76.1500,56.0400,74.3700,48,False,112.9081,28.1717
884,81,era1,Yuelu,350973.4100,46.0729,39.6266,4.5352,25.1855,0.0562,61.4000,98.5100,98.3600,33.1600,74.2800,49,False,112.9494,28.2072
1046,32,era1,Tianxin,320785.8100,46.1076,38.9739,2.2473,23.5085,0.0562,62.0000,98.3600,97.7600,32.1900,74.1000,50,False,112.9696,28.1979
1274,6,era3,Tianxin,160624.0200,57.9397,4.8609,5.8676,6.1185,0.0476,95.6800,51.4200,64.6800,83.0100,73.6700,51,True,112.9987,28.1162
1276,3,era2,Tianxin,94108.9000,56.7528,7.1996,3.6514,6.1883,0.0519,94.3400,62.7400,65.7200,66.9200,73.6500,52,True,112.9988,28.1253
558,54,era2,Yuelu,280729.4100,46.3008,22.0165,9.2205,17.8144,0.0561,63.6400,91.3600,94.6300,40.2400,73.4700,53,False,112.9089,28.2168
1320,24,era2,Tianxin,158409.7700,48.7909,11.3396,2.8256,8.0784,0.0546,79.4300,78.3900,75.4100,55.1400,73.4600,54,True,113.0042,28.1387
559,63,era2,Yuelu,382695.0500,44.9333,35.5612,7.0295,24.2895,0.0557,50.8200,97.9100,98.0600,45.6000,73.3500,55,False,112.9089,28.2213
1530,12,era2,Yuhua,210636.1400,51.0415,15.7441,7.9103,13.4901,0.0562,85.3900,85.5400,88.2300,21.0100,73.1300,56,True,113.0301,28.1609
1324,33,era2,Tianxin,185978.7000,47.2963,16.5663,6.0878,12.9196,0.0561,71.2400,87.3300,87.4800,39.7900,73.0300,57,False,113.0045,28.1568
1097,6,era1,Furong,171375.7700,52.8755,21.0569,3.0321,13.7380,0.0562,89.1200,90.1600,88.6700,7.3800,72.9900,58,False,112.9756,28.2429
436,13,era2,Yuelu,143000.7800,50.5115,9.6271,5.3583,8.5461,0.0551,84.5000,73.3200,76.7500,51.2700,72.9500,59,True,112.8937,28.2215
437,35,era2,Yuelu,210753.5800,46.5741,13.0784,7.2683,11.6037,0.0541,66.6200,81.0700,85.1000,58.1200,72.9500,59,False,112.8937,28.2260
311,22,era3,Yuelu,153034.3500,54.5136,4.9563,5.5646,6.0001,0.0481,92.4000,52.4600,63.3400,81.9700,72.5200,61,True,112.8782,28.2127
808,12,era2,Yuelu,170645.1000,52.5948,6.7477,3.3645,5.7670,0.0496,88.6700,61.1000,61.5500,75.7100,72.3800,62,True,112.9397,28.2344
157,1,era3,Yuelu,132099.1700,67.9616,3.1043,5.1254,4.6934,0.0462,99.7000,39.2000,55.5900,97.8400,72.3600,63,True,112.8586,28.2581
1157,23,era2,Tianxin,158410.9000,48.7907,10.4338,3.0410,7.6847,0.0546,79.2800,75.8600,73.6200,54.8400,72.2300,64,True,112.9839,28.1435
796,38,era1,Yuelu,218291.8000,47.4077,21.5243,7.9203,16.7922,0.0562,71.8300,90.7600,93.4400,23.4700,72.1600,65,False,112.9388,28.1803
1137,28,era1,Furong,149762.7800,47.8657,16.3154,4.7485,12.0127,0.0562,74.2200,86.8900,85.9900,33.1600,72.1600,65,False,112.9806,28.2383
725,11,era3,Yuelu,166893.8200,53.5652,4.6029,6.0243,6.0607,0.0471,90.7600,49.6300,64.0800,85.3900,72.0100,67,True,112.9295,28.2300
670,45,era2,Yuelu,177147.8100,49.0179,15.2963,5.6473,11.9441,0.0562,80.3300,85.2500,85.8400,23.4700,71.5400,68,False,112.9232,28.1670
747,22,era3,Yuelu,147209.7600,51.0782,6.2135,4.6872,6.2166,0.0501,85.5400,58.8700,65.8700,74.0700,71.3100,69,True,112.9330,28.1443
1155,26,era2,Tianxin,139469.5700,50.6419,7.5609,3.7964,6.4771,0.0520,84.8000,63.6400,67.3600,66.3200,71.2700,70,False,112.9837,28.1345
1197,41,era2,Tianxin,209853.3600,46.1142,16.7606,6.5129,13.2729,0.0558,62.1500,87.6300,88.0800,43.5200,71.2500,71,False,112.9889,28.1389
519,47,era2,Yuelu,201311.7000,46.1668,12.9980,5.8023,10.7218,0.0541,62.4400,80.9200,82.8600,57.9700,71.1700,72,False,112.9039,28.2259
1136,31,era1,Furong,188755.4500,48.6489,22.4608,6.5367,16.5373,0.0562,78.5400,91.9500,93.1400,6.7800,71.1300,73,False,112.9805,28.2338
518,73,era2,Yuelu,244374.7300,45.5308,19.2416,6.5345,14.7001,0.0557,56.6300,89.2700,90.0100,46.2000,71.0100,74,False,112.9038,28.2214
974,4,era3,Kaifu,109796.6400,63.8348,4.7769,4.1218,5.0750,0.0504,98.6600,50.6700,57.8200,72.8800,70.9400,75,True,112.9603,28.2431
1290,52,era1,Furong,284981.1200,46.2479,35.0156,8.6521,24.9037,0.0562,63.0400,97.7600,98.2100,14.2300,70.7300,76,False,113.0000,28.1884
893,34,era2,Kaifu,234093.9200,45.4975,15.1774,7.3267,12.8341,0.0546,56.1800,84.5000,87.3300,54.6900,70.6100,77,False,112.9502,28.2478
1497,3,era2,Furong,115324.8400,57.7753,8.5105,4.4112,7.3692,0.0562,95.5300,68.2600,72.2800,35.0200,70.6000,78,False,113.0256,28.1971
1214,2,era1,Furong,91000.9400,61.1911,11.1813,3.5308,8.3903,0.0562,97.7600,77.9400,76.4500,12.3700,70.4700,79,True,112.9903,28.2156
1236,22,era3,Tianxin,129184.2800,47.8147,9.5528,3.1521,7.2456,0.0534,73.7700,72.8800,71.8300,60.5100,70.4600,80,False,112.9938,28.1298
1201,68,era1,Tianxin,239465.5800,45.0633,28.8939,6.6791,20.2873,0.0562,52.0100,95.3800,96.1300,35.0200,70.4500,81,False,112.9893,28.1570
1492,49,era2,Furong,169533.6200,46.8565,14.9746,4.8867,11.3269,0.0561,67.9600,84.2000,84.0500,39.4900,70.3600,82,False,113.0252,28.1745
928,17,era2,Yuelu,140177.2400,51.6832,10.2456,1.9525,6.9566,0.0562,86.4400,75.2600,70.6400,38.1500,70.2700,83,True,112.9548,28.2206
1195,31,era2,Tianxin,146367.9100,47.5839,8.8087,4.4024,7.5343,0.0526,72.4300,70.0400,72.7300,64.2300,70.1300,84,False,112.9888,28.1299
1258,18,era1,Furong,162279.3100,51.1967,15.6737,5.8051,12.2493,0.0562,85.6900,85.3900,86.5900,5.8900,69.8200,85,False,112.9957,28.2291
678,27,era1,Yuelu,96763.6100,49.7266,8.0787,3.6255,6.6749,0.0545,82.4100,66.0200,68.7000,56.1800,69.5000,86,True,112.9239,28.2030
1182,3,era3,Kaifu,157942.8500,59.8584,3.7117,1.5542,3.0032,0.0462,96.8700,44.2600,43.2200,92.1800,69.4200,87,True,112.9860,28.2563
1396,28,era2,Tianxin,167483.0700,47.1190,12.0858,5.5477,10.0564,0.0560,70.1900,79.1400,81.0700,41.4300,69.3000,88,False,113.0139,28.1115
932,5,era2,Kaifu,134187.1200,61.5028,9.8077,0.8185,6.0601,0.0562,97.9100,73.7700,63.9300,25.0400,69.3000,88,True,112.9551,28.2387
1250,87,era1,Furong,249763.5800,44.4752,30.1236,6.2758,20.7586,0.0562,45.9000,95.8300,97.0200,36.6600,69.2600,90,False,112.9950,28.1930
1141,4,era2,Kaifu,93137.3900,57.0818,5.9665,3.6137,5.4636,0.0545,94.7800,57.6800,60.8000,55.8900,69.0800,91,True,112.9809,28.2564
1098,2,era2,Kaifu,100278.2300,62.2845,3.9272,3.8908,4.4586,0.0495,98.2100,45.1600,53.9500,76.1500,69.0300,92,True,112.9756,28.2474
1169,61,era1,Furong,234676.0900,44.2711,24.1788,2.5135,15.2226,0.0553,42.1800,93.4400,90.6100,49.9300,68.7900,93,False,112.9849,28.1977
1163,28,era1,Furong,152314.3300,46.9452,16.8641,3.2332,11.4615,0.0562,69.1500,87.9300,84.6500,23.4700,68.7500,94,False,112.9844,28.1706
831,28,era2,Tianxin,142407.3600,47.8634,9.9911,3.8312,7.8828,0.0556,74.0700,74.2200,74.3700,46.6500,68.6900,95,False,112.9434,28.1531
1649,21,era3,Yuhua,127503.2900,49.9163,5.8776,4.5465,5.9449,0.0509,83.0100,56.9300,62.8900,70.4900,68.6600,96,True,113.0450,28.1426
1275,15,era2,Tianxin,117025.0100,50.0857,5.8967,4.3406,5.8383,0.0509,83.3100,57.0800,61.8500,70.7900,68.6400,97,True,112.9988,28.1207
1371,24,era2,Furong,209892.2600,45.4852,16.9756,7.5482,13.9859,0.0562,56.0400,88.0800,89.1200,37.6300,68.5900,98,False,113.0101,28.1838
1160,60,era1,Tianxin,183720.1600,44.8375,20.8675,4.7767,14.6249,0.0558,49.4800,89.8700,89.8700,43.8200,68.5400,99,False,112.9842,28.1571
1133,5,era1,Furong,83288.8800,49.1123,10.2337,3.1066,7.6080,0.0562,80.6300,75.1100,73.1700,34.2000,68.2000,100,False,112.9802,28.2203
1123,3,era1,Furong,89667.8300,59.3843,11.0175,1.5196,7.1499,0.0562,96.2700,77.3500,71.5400,8.6400,68.1200,101,True,112.9794,28.1752
1045,29,era1,Tianxin,150233.2600,45.3017,18.4592,4.2137,12.9304,0.0562,53.6500,88.8200,87.6300,39.0500,68.0800,102,False,112.9696,28.1934
749,7,era2,Yuelu,89506.7600,57.6924,5.8119,3.2002,5.1396,0.0546,95.3800,56.3300,58.1200,54.5500,68.0500,103,True,112.9332,28.1533
276,9,era3,Yuelu,124804.1300,60.4694,2.9329,1.9312,2.7740,0.0462,97.6200,37.5600,41.2800,95.0800,67.8300,104,True,112.8736,28.2398
806,68,era1,Yuelu,219505.2400,43.8835,22.7261,5.6015,16.1552,0.0547,36.3600,92.1000,92.2500,54.1000,67.8100,105,False,112.9396,28.2254
1460,19,era2,Furong,134406.7300,46.8881,8.3737,3.7573,6.9183,0.0526,68.8500,67.3600,70.3400,64.0800,67.7500,106,False,113.0209,28.2152
1200,66,era1,Tianxin,209731.0500,44.4249,22.4352,4.8407,15.5554,0.0561,45.3100,91.8000,91.6500,40.9800,67.6600,107,False,112.9892,28.1525
931,2,era1,Kaifu,80397.1600,64.2323,9.8784,0.4904,5.9133,0.0562,98.8100,74.0700,62.3000,15.7200,67.4700,108,True,112.9550,28.2342
1283,50,era1,Tianxin,204114.6900,45.3959,23.9047,6.0022,17.0559,0.0562,54.9900,93.2900,93.7400,21.0100,67.4300,109,False,112.9994,28.1568
1574,50,era2,Furong,192376.3200,45.5048,13.3507,4.7933,10.3475,0.0555,56.3300,81.2200,82.2700,48.2900,67.3800,110,False,113.0354,28.1744
1078,31,era2,Tianxin,131852.9300,46.9704,10.8931,3.7221,8.3350,0.0560,69.3000,76.7500,76.3000,41.2800,67.3300,111,False,112.9740,28.1572
1100,14,era2,Kaifu,143458.9400,46.8853,10.4931,5.0202,8.8472,0.0560,68.5500,76.0100,77.9400,41.7300,67.3000,112,False,112.9758,28.2564
1302,25,era3,Furong,183717.5000,47.3486,6.6817,2.5680,5.2751,0.0489,71.5400,60.8000,59.0200,78.6900,67.2400,113,False,113.0010,28.2425
709,4,era3,Yuelu,113226.5300,56.0391,2.6608,3.9343,3.7612,0.0462,93.8900,35.6200,49.9300,90.6100,66.9600,114,True,112.9282,28.1579
1068,22,era3,Tianxin,180715.7100,47.3287,4.5615,6.2836,6.1850,0.0466,71.3900,49.3300,65.5700,87.6300,66.8600,115,True,112.9732,28.1121
672,40,era2,Yuelu,185634.8300,48.0720,16.1928,6.6082,13.0034,0.0562,75.1100,86.7400,87.7800,2.6100,66.6300,116,False,112.9234,28.1760
874,14,era2,Tianxin,88186.4500,50.2724,6.6624,1.6712,4.7527,0.0536,83.9000,60.6600,56.3300,59.7600,66.5900,117,True,112.9486,28.1621
723,41,era2,Yuelu,192851.6300,44.9482,13.9504,5.6252,11.1640,0.0555,50.9700,82.7100,83.7600,48.1400,66.4800,118,False,112.9293,28.2210
1129,22,era1,Furong,133271.3400,48.4364,16.1044,3.8201,11.3630,0.0562,77.0500,86.4400,84.2000,2.6100,66.4100,119,False,112.9799,28.2022
1342,24,era2,Furong,114794.6600,47.4692,7.8243,3.4094,6.4066,0.0538,72.1300,65.1300,66.9200,58.5700,66.2800,120,True,113.0060,28.2380
1238,18,era2,Tianxin,98708.3700,48.8392,7.7590,2.7054,5.9678,0.0550,79.5800,64.2300,63.0400,52.0100,66.1500,121,False,112.9940,28.1389
887,44,era2,Yuelu,199757.6200,46.5804,15.9489,4.0214,11.3890,0.0562,66.7700,85.9900,84.5000,16.6900,66.0700,122,False,112.9497,28.2207
847,64,era2,Yuelu,242286.8100,44.8896,23.8071,6.4557,17.2589,0.0562,50.2200,93.0000,94.1900,21.0100,66.0100,123,False,112.9447,28.2253
682,57,era3,Yuelu,172983.4000,45.3960,9.0551,3.4801,7.1488,0.0512,55.1400,70.9400,71.3900,69.3000,65.9600,124,False,112.9242,28.2211
600,71,era2,Yuelu,181962.1500,44.3215,13.4016,4.5817,10.2559,0.0535,43.2200,81.6700,82.1200,60.0600,65.9000,125,False,112.9140,28.2212
1037,49,era2,Tianxin,165552.9000,45.9114,12.3025,3.2769,8.8849,0.0560,60.0600,79.5800,78.0900,41.8800,65.8900,126,False,112.9689,28.1573
1075,13,era1,Tianxin,79065.7700,48.5765,7.2352,2.8467,5.7497,0.0544,77.7900,62.8900,61.4000,56.4800,65.7800,127,True,112.9737,28.1437
993,11,era1,Tianxin,72844.0500,48.9017,7.7683,2.4493,5.8271,0.0552,79.8800,64.5300,61.7000,50.3700,65.7400,128,False,112.9636,28.1438
270,6,era3,Yuelu,97597.0700,53.3262,2.2935,3.7441,3.4433,0.0462,90.0100,32.1900,47.2400,97.3200,65.5700,129,True,112.8731,28.2128
728,16,era3,Yuelu,115386.7700,52.5828,2.7116,3.2837,3.4191,0.0462,88.3800,36.5100,46.6500,93.5200,65.5000,130,True,112.9297,28.2436
1191,32,era3,Tianxin,154354.5600,46.0028,7.9601,4.2439,6.9600,0.0520,61.1000,65.5700,70.7900,66.4700,65.4500,131,False,112.9884,28.1119
